Name,Category,Weight,HealthRisk,LifeExpectancy,Coat,GroomingIntensity,MonthlyCost,Trainability,ActivityLevel,Purpose,Content,AdditionalContent
Pugalier,Small & Cute Family & Kid Friendly ,4-8 kg,Medium,10-12 years,Short,Low,very low,Medium,Medium,,"The Pugalier is a hybrid dog breed that is a cross between a Pug and a King Charles Cavalier. These two breeds are very both very friendly and have wonderful temperaments, and the Pugalier sure does deliver on both characteristics. Due to this amazing temperament and their funny-looking cuteness, Pugaliers are certain to become more and more popular over time. This breed may not win any beauty contests, but they will wow everyone they meet with friendliness and their loving nature. Like Pugs, they are clowns and fabulous comedians and entertainers that you are certain to fall in love with.The Pug has a lot of health issues, but by crossing them with the Cavalier, some of these have been eliminated. This cross breed is simply a great mixture, combining the best of both breeds minus the health issues. Most Pugaliers are fawn colored, with some dogs having white markings on their bodies. But their faces are mostly all fawn with a dark area around their noses. Their coat is short and just needs weekly brushing to keep the hair off your furniture.",
Puli,Active & Energetic Low Shedding Smart & Trainable Protective & Guarding ,13-15 kg,Medium,12-16 years,Long,Medium,average,Medium,High,,"Puli means “the leader” in Hungarian where this breed supposedly originates from. But there is some controversy that they might actually have originated in Tibet. Either way, with its long tight curls, similar to dreadlocks, the Puli is a very unusual looking dog that is unique in many ways. Pulis have a strong urge to bark, and their bark will keep people and other animals away. Barking can become a problem, and it is best if they live on a property with no neighbours on either side. They watch their territory like a hawk, and nothing happens without the Puli knowing about it. They are quite skeptical towards dogs and humans if they don’t know them and it takes them a long time to make friends. They are intelligent, easy to train and adjust well to their families, to whom they are usually highly devoted. They are also independent, show great endurance and can be a little bit dominant. This breed likes to herd and they will nip like cattle dogs to keep the animals moving in the direction they want them to go in and to keep them together as a group. Pulis will avoid water, mostly due to their unusual coat. Just like a mop, it soaks up water, which makes it very heavy and hard to move. A professional groomer is recommended when washing your Puli. And only bath them when you can’t bare the dog smell any longer as their coats take ages to dry. It should not be trimmed and it is best to put their fringe hair up so they can see.",
Rat Terrier,Small & Cute Active & Energetic Smart & Trainable ,4.5-11 kg,Medium,15-18 years,Short,Low,low,Medium,High,,"This handsome mid-sized dog is quite friendly and social with dogs and people. Rat Terriers will soak up any attention and affection they can get from humans, preferably from their owners and family. They are more reserved towards strangers and can make great watchdogs. Rat Terriers are lively and want to live life to the fullest. They don’t seem to ever sit still, and this energy comes through in every life situation. Taking these dogs to different places and expecting them to sit still for long is nearly impossible. So if you are looking for a dog that lies still under a table in the coffee shop while you have your breakfast, look elsewhere. They prefer to rumble at the park for hours and getting them to come to to go home may not be an easy task. These dogs love to be trained and to please their owners, so training them is easy, but also a necessity to keep them mentally stimulated. Keeping them entertained, on the other hand, can be quite a task, as they will look for new challenges all the time. A bored Rat Terrier will find its own entertainment and your garden beds might not survive. Enough stimulation and physical outings at the park are a daily must for this breed.",
Rhodesian Ridgeback,Active & Energetic Family & Kid Friendly Protective & Guarding ,36-41 kg,High,10-12 years,Short,Low,Above average ,Medium,High,,"The trademark of the Rhodesian Ridgeback is the very unique strip/ridge of hair growing in the opposite direction on their backs. This large breed originates from Southern Africa where they were originally used for hunting and then to protect park rangers from danger by alerting them of nearby lions.    They can sense danger like no other hound and will be very protective over their family. They tend to bond with one person in the household and will only acknowledge the other members. If their owner can take them for daily runs and on other sporty activities like bush tracking, they will be happy and content when at home.    Rhodesian Ridgebacks dogs are known for being ferocious hunters but also calm, gentle and loving at home. Their temperament is smart, obedient, brave and alert, but they do not mix well with children as they often play rough and can knock them down. To prevent the dog from being too reserved, it should be socialised and trained from a young age.    Rhodesian Ridgebacks make fantastic guard dogs - they will give any intruder a fright through their physical size and stature.",
Rottweiler,Active & Energetic Family & Kid Friendly Protective & Guarding Smart & Trainable ,45-60 kg,Very high,8-10 years,Medium,Low,High,Very high,High,,"Rottweilers are strong dogs with a soft core. They are devoted to their owners, who they will protect and follow. They would rather come with you to work and will even be happy with a smaller living arrangement just to be close to you. Leaving them home alone in the backyard will not bring out the famous Rottweiler smiley face!    They are real protectors of their pack and their deep chesty bark coupled with their sheer body weight and appearance will make any intruder turn on his heels.    Rottweilers are brave and fearless, very alert and territorial, with an affectionate nature towards their owners. This dog is simply not for inexperienced dog owners as they will test their status in the pack and need clear boundaries and early socialisation. Aggression can be become an issue with this breed in the case of abuse, neglect or irresponsible ownership.    Health risk is medium to high with common elbow and hip dysplasia - choosing a good breeder is therefore upmost important.",
Saluki,Active & Energetic Family & Kid Friendly Low Shedding ,18-27 kg,Medium,12-14 years,Short,Low,average,Medium,Medium,,"Salukis are brave at heart, but have a very sensitive nature. They are incredibly fast runners, and are also fast learners and high achievers. They truly enjoy variety in both training and daily outings. Keeping this breed happy requires two things – firstly being active (meaning being allowed to run fast) and secondly, variety - in or of everything. They get bored very easily and the same old but a little bit different won’t work for this breed. Take them to the same place over and over again and they will be sure to let you know about it.There is no sound quite like a Saluki singing. When left alone, they sing a song of sadness that is quite unique. They love the company of humans and dogs alike, and will feel happiest in a multiple dog household. You will often find them taking over your upholstered chairs and couches at home, resting or sleeping in a half-sitting half-lying position. Salukis are devoted companions and need good training to be able to go off leash, because if they are off leash then there is nothing that can catch up to them. Except maybe another Saluki! Like most sighthounds, they require exercise and the ability to run free to release energy, but then, and only then, will they be a quiet companion at home. Salukis’ fur is short and easy to maintain and as a bonus they hardly shed.",
Samoyed,Active & Energetic ,23-30 kg,High,12-14 years,Long,High,Average,Medium,Medium,,"Samoyed puppies are the most adorable fluff-balls you will ever see.Their cuteness and always smiling faces makes them easy to fall in love with.    Samoyeds are not an easy breed to own - they have a desire to just keep on going, and daily walks will not be enough. They make an ideal partner for outdoor sports, and will even happily pull you along on a bike or wagon.    They are very independent dogs and like to go their own way at times, investigating the environment without caring too much where their owners are.    Samoyeds make good watchdogs and will alert you of danger through barking or a wolf-like howling sound. They seem to always want to have the last word and are quite head-strong. That doesn't go well with being told what to do...if you want them to do something, you are better off making them think it was their idea.    If you can't satisfy your Samoyed's desire to be active and to work, they will start using your garden as their new play area - and the result won't be pretty. Once this breed sets their mind on something, there is no stopping them.    Their coat requires regular brushing in order not to get matted. It is important to not cut their fur off as it acts as a form of protection against the heat and cold.",
Schipperke,Small & Cute Active & Energetic Family & Kid Friendly Protective & Guarding Smart & Trainable ,5-9 kg,Medium,13-15 years,Medium,Low,low,High,Medium,,"A Schipperke looks like a minitiature black version of a German Shepherd, and he sure is as brave and alert as one. But these dogs are actually no relation to the German Shepherd breed. They are sporty, very robust and intelligent little dogs. They are devoted to their families and enjoy having kids to play with. They are more reserved towards strangers and prefer to be left alone.Schipperkes have quite a bark on them and like to voice their opinion. They will alert you and defend you with pure bravery. They are great watch and guard dogs and their hunting instinct is still very intact. When you let them, they will hunt and bring you mice and other small animals as a way of showing their affection!Schipperkes like to attach themselves to your hip and are very patient with kids. They need lots of activities where they can release their energy - like daily long walks and dog sports. You will need to have a good relationship with the neighbours, who will have to not mind having a barker living next door.The Schipperke’s coat is easy to look after and whenever you have a moment just give it a quick brush.",
Schnauzer (Miniature),Small & Cute Family & Kid Friendly Low Shedding ,6-8 kg,Medium,13-15 years ,Medium,High,Low,Medium,High,,"Miniature Schnauzers might look like toy breeds or lap dogs, but you will be surprised: these dogs have a lively temperament, are action packed and there is no way they will want to be carried around in a handbag!    Miniature Schnauzers are very loyal towards their owners but not very obedient by nature. They have an innocent looking face but can actually be quite headstrong and mischievous. Because of this strong personality, it is important that they are trained to understand their place in the home.    They are a great family dog and go perfectly with kids as they love to play, and will keep going all day long! They need lots of adventure for their physical and mental stimulation, and will enjoy any kind of dog sports or running type activities.    Not a barker by nature, they can develop barking habits if not socialised enough.    This breed requires brushing twice a week and regular trimming of their fur. Even a small Schnauzer looks best with a proper Schnauzer groom.",
Schnauzer (Standard),Family & Kid Friendly Low Shedding ,16-23 kg,Medium,13-15 years,Medium,High,Average,Medium,High,,"Schnauzers have a lively temperament but can also be very calm and chilled out. It all depends on how much activity they have had during the day.    They are very loyal towards their owners but not obedient by nature. They do like to please but also have a tendency to be headstrong and want to do things their own way.    Schnauzers are adorable with kids as they love to play. If somebody throws the ball for them, they will be very happy and can happily play fetch all day long.    Owning a Schnauzer means daily adventure walks to tire this dog out, mentally and physically. A Schnauzer will never say no to any dog sport or daily runs.    Not a barker by nature, this breed can develop barking habits if not socialised enough.    Schnauzers require brushing twice a week and regular trimming of their fur. They look best with a proper Schnauzer groom. This breed also comes in miniature form - which is just a smaller and lighter version.",
Schnoodle,Active & Energetic Family & Kid Friendly Low Shedding ,6-45 Kg,Low,10-15 years,Medium,High,Average,Medium,Medium,,"A Schnoodle is a mix between a Schnauzer and a Poodle. They come in a large range of sizes, depending on which size Poodle and Schnauzer they were crossed with. When picking your puppy, make sure you know the size of the parents, as you could land up with a 6 kg version or a 45 kg one!    This is another one of the popular hybrid dog breeds, with the aim of this mix being to combine the Poodle's intelligence and low-shedding hair with the playful temperament of the Schnauzer.    Schnoodles make great pets for novice dog owners. You just need to watch out for the mischievousness and stubbornness that can come out once in a while.    Schnoodles are easy to train but have more of a tendency to bark than the other hybrid dog breeds like Labradoodle or Spoodle. They will also want you to take them out for lots of daily exercise.    Grooming is required every 7-10 weeks and daily brushing is recommended to avoiding matting. Special care required for all hybrid dog breeds is daily eye cleaning to prevent eye infections and eye stains.",
Scottish Terrier,Small & Cute Protective & Guarding Low Shedding ,8-10 kg,Medium,12-15 years,Long,High,low,Low,Medium,,"The Scottish Terrier, also affectionately known as the Scottie, was bred for keeping farms free from rodents and chasing rabbits and foxes down their holes to kill them. Their short-legged build was perfect for this job. Today they are bred more for show and as a companion dog, but Scotties still have lots of prey drive in them. Scotties are fearless little dogs that are more into thinking than action. They don’t bark much, but are certainly observant and alert about their environment. Their eyes scan the surroundings for any signs of prey or movement that might require investigation. They have an immense prey drive and letting them off lead around possible wildlife is not recommended. Scottish Terriers are intelligent but willful at times. Their moves and actions are strategic and calculated which makes them seem quite arrogant. They are loyal companions that prefer a single person household. They choose their friends carefully and will be reserved towards strangers and ignore them most of the time.You aren’t likely to see a Scottish Terrier being playful with other dogs…they seem to prefer being more of a loner. Scotties have a double coat and require regular grooming to look their most fashionable best.",
Shar Pei,Protective & Guarding Chilled Out & Relaxed ,25-29 kg,Very high,9-11 years,Short,Low,Average,Medium,Low,,"Shar Peis are distinctive looking dogs with adorable wrinkled skin that looks way too big for them! Personality wise, Shar Peis are always relaxed, considered and calm. They are medium-sized all rounders who can adjust to any life situation, and will be happy in an apartment or house.    Shar Peis are reserved towards strangers and will observe from a distance. Their love for their family makes them protective and they will alert you with a few deep barks when there is somebody at the door. This breed tends to be noise sensitive and early socialisation to a variety of noises is highly recommended, especially if they are going to live in an apartment.    Shar Peis love to beg for treats...and who can resist those fat roles and that adorable face? Their intelligence and devotion to their owners makes them easy to train. They can be willful at times and will figure out how to get the most treats out of each family member, playing each off against the other. This breed has emotional intelligence, and they will quickly work out what each individual family member likes - and then please each person accordingly!    Health wise they are not the easiest dogs to look after and they are prone to allergies and skin infections.",
Shetland Sheepdog,Smart & Trainable Active & Energetic ,8-12 kg,Low,12-14 years,Long,Medium,Below average,High,High,,"Shetland Sheepdogs look like miniature versions of Collies, with the same lion-like manes and neck frills. Their skinny heads and small lean bodies make them look elegant and grand.    ""Shelties"", as they are commonly known, are very intuitive and can sense mood swings before you even know it. They won't like it when you are in a bad mood and will do anything possible to make you feel better. From clownish behavior to putting their head on your lap, they will figure out the right way to comfort you.    Shelties are not just clever and easy to train, they also like to obey and are happy to follow commands. They bond closely with their owners and like to follow them everywhere. They won't mind when you go out, but prefer if it's not for long stretches at a time. They are slightly reserved towards strangers but not in any way scared of them.    This breed has lots of energy and need to release it on a daily basis. Your Sheltie will not be calm or relaxed if they haven't had their daily power run! They will excel at any dog sport where they can use their intelligence, endurance and speed.",
Shiba Inu,Active & Energetic ,8-11 kg,Medium,12-15 years,Short,Medium,low,Low,Medium,,"Shiba Inus are brave, confident small-sized dogs that have a good dose of willpower. They are attached and affectionate towards their owners, but certainly like to push boundaries and need a handler with strong leadership skills. Their willpower and stubbornness make them hard to train and even when trained, they will always keep this bit of independence. This breed has a strong prey drive that is hard to control and off-lead time needs to be well managed. They are best suited for a household with no other animals. Living with other animals is not advised, as Shiba Inus will likely see them as rivals or prey. They need plenty of outdoor adventures, and to run off some steam. Inside the house they are more relaxed, and you will mostly find them lounging on their bed and hardly hear any barking.As puppies, Shiba Inus are the cutest thing you have ever seen - they look like a cross between a baby fox and a bear cub. You will fall in love with their playfulness and endless inquisitiveness, which they will keep most until old age. Shiba Inus can be quite reserved towards strangers and other dogs even when well socialised as a puppy. They don’t need strangers or other dogs in their lives to be happy.",
Shih-Poo,Small & Cute Family & Kid Friendly Low Shedding ,3.6-8 kg,Medium,10-15 years,Medium,High,very low,Low,Low,,"No, the Shih-Poo is not just a funny name. This breed is a so-called hybrid breed, being a cross between a Shih-Tzu and a Poodle. They get their smartness from the Poodle side and their very soft, loving and gentle nature from the Shih-Tzu side. Shih-Poos are becoming more and more popular, and we understand why. With a Shih-Poo you are getting a smart but not as active, cute-looking dog. They love to seek attention and get spoilt by their owners. Sleeping in your bed and taking over the couch is just what the Shih-Poo wants. Daily outings are a must, but it need not be too strenuous or busy. This is a trait from the Shih-Tzu, who likes to take it easier and enjoys daily comforts. Though beware, Shih-Poos can easily develop little dog syndrome, as they like to be pampered and fussed about.Their coat is a mix of silky smooth hair with some curls through, which are inherited from the Poodle. If a stick or leaf gets caught in their coat they will make sure you remove it immediately, as they are just precious. Regular grooming is required to avoid matting.",
Shih Tzu,Chilled Out & Relaxed Low Shedding Family & Kid Friendly Small & Cute ,5-7.5 kg,Medium,10-16 years,Long,Medium,Low,Low,Low,,"If you after a dog that has a happy and friendly temperament, is great with kids and other pets and can live in an apartment, the Shih Tzu might be just right for you.    Shih Tzus love to play and will stay playful until old age. They don't need much exercise and apartment living suits them well. They love to jump on your lap for cuddles and attention, but will choose carefully who they become friends with...and once the decision has been made, there is no reversing it!    Through whining and barking, Shih Tzus will usually get what they want. This doesn't mean they are needy - on the contrary, they are quite independent. They simply like to get what they want!    The Shih Tzu's facial hair can grow very long. This can make them look like lions, and regular trimming is required to prevent it from going into their eyes. Their chin is quite forward which can make them look arrogant when they prance along, but they sure aren't. They have a bubbly outgoing nature, and are focused on pleasing their owners.    Their long hair is easier to maintain than one would think - they just require regular brushing and a clip around his face.",
Shitzu Maltese,Small & Cute Low Shedding Chilled Out & Relaxed ,3-6 kg,Medium,12-14 years,Medium,Medium,Low,Medium,Low,,"The Maltese Shih Tzu (which is often misspelt as Maltese Shitzu) is a crossbreed of the Maltese and the Shih Tzu. This hybrid breed doesn't cope well with being home alone or separated from their owners for too long.    They are very playful and affectionate ... the more they can be carried around or sit on your lap, the happier they will be. They are a great choice for retired people or families where somebody is always home or can take the dog with them when they go out.    Being carried around and babied as they often are, Maltese Shih Tzus can easily develop so-called ""small dog syndrome"", with an overabundance of confidence and bravado despite their small size.    This breed naturally prefers humans and would rather play with kids or adults than other dogs. Early socialisation is important, and we recommend you treat them like dogs, even if they look like stuffed teddy bears that need protection!    They are low-shedding, but do shed throughout the season and are not as allergy friendly as some of the other hybrid dog breeds.",
Siberian Husky,Smart & Trainable Family & Kid Friendly Active & Energetic ,20-27 kg,Medium,12-15 years,Long,Medium,Average,High,High,,"Siberian Huskies are sled dogs by nature and can pull many times their own body weight. Teaching this breed to walk nicely on the lead without pulling is almost impossible, so if you are after leisurely walks, this is not the right breed for you. You are better off going for a jog with them or teaching them to run next to you when you ride your bike.    They are very friendly by nature and like to establish strong bonds with their owners. Long hours at home alone are not optimal for this breed, but are possible if they are physically and mentally stimulated enough.    When given enough exercise - around 2-3 hours a day - they make well-adjusted members of the household. This breed has a great sense of direction - if you ever get lost, you can trust your Siberian Husky to get you home.    When their need for exercise is met, Huskies can be well-adjusted members of the household. But be warned, they need at least 2-3 hours of exercise a day to be happy!    They are sometimes labeled as stubborn, but in the Arctic it was crucial for this breed to make decisions so its owners could survive. These traits still exist but this breed can be well managed as a pet dog through fair leadership. However, they are definitely not recommended for first time dog owners or families with young kids.",
Staffordshire Bull Terrier,Active & Energetic Family & Kid Friendly Protective & Guarding ,13-17 kg,Medium,10-14 years,Medium,Low,Below average,Medium,High,,"The Staffordshire Bull Terrier, or Staffy, as this breed is affectionately known, has a strongly built body and a cute square head that is paired with a lovely temperament. This breed is often confused with the American Staffordshire Bull Terrier, which is actually much smaller.    Staffies are brave, persistent, gentle and playful and tend to adore children. If you have ever owned a Staffy, you will know that they are the most loving family dogs that will simply melt your heart. They say, ""Once a Staffy owner, always a Staffy owner"".    Unfortunately, they have gained a bad reputation through poor upbringing and misuse of their traits by some owners, and their use as fighting dogs.    Staffies are people dogs and they constantly want to give love and receive affection from their humans. They are big sooks in a very powerful body, which they are not aware of. They make great lap dogs if you have a lap that is big and strong enough!    They love sun bathing and a warm place in front of the fire at night. They adore sleeping with you and will look at you with their sad eyes when you leave the house. They are okay with being left home alone but are sure to make you feel guilty when you leave them. They are also very obedient as they love to please, and they will not say no to any food.",
St. Bernard,Family & Kid Friendly Chilled Out & Relaxed ,64-120 kg,Very high,8-10 years,Long,Low,very high,Medium,Medium,,"The St. Bernard is a giant breed that is gentle and well-natured. They are famous for their use in search and rescue operations around the world. These dogs are confident and reliable and are faithful to their owners. St. Bernards speak with their body, which tends to wiggle entirely when they are happy. Their body mass is quite imposing, but their overall calmness and friendly smiling face makes them very approachable dogs. St. Bernards are devoted to their families and seek affection and attention from them. When you are resting on the couch, they will try to squeeze their large frame in between you and your partner just to get close to both of you. And then you will find a huge paw on you begging for extra cuddles!They make good guard dogs, and as they have been bred as watchdogs but also for search and rescue missions, they will be quick to take action if they feel their family is in danger. As young dogs they are full of beans and like to jump around and rumble. In middle age they get more lazy and moving seems more like hard work. Older St. Bernards prefer lazing around and enjoy extra cuddles rather than too much action. St. Bernards make a great family dog, but due to their large size they are not recommended for families with small children. They are also not recommended for hot countries or regions because of their very thick coat.",
Tenterfield Terrier,Active & Energetic Smart & Trainable Small & Cute ,4.5-6 kg,Medium,12-14 years,Short,Low,very low,High,High,,"Tenterfield Terriers are sturdy little terriers with lots of energy that are always eager to be doing something. These little guys don’t like to sit still, but can adapt to living in a small apartment as long as they have a loving family that gives them enough attention, lots of off-lead play and daily walks. They will bark at first when people come to the door, but will then jump and lick them once they enter the house in the hope that they might give them some attention or even throw the ball for them. For Tenterfield Terriers, playing fetch is an Olympic sport discipline…they just can’t get enough! One has to be careful as they can easily forget where they are going when chasing another dog or the ball. They love soaking up the warmth, and you will find them curling up in front of the fire on a cold winter’s day or outside sunbathing in summer. They are easy to train and love to work for you as they enjoy being praised. Even if the job is doing the school run with you or taking out the rubbish, they is up for anything!Tenterfield Terriers are fearless, lively, clever and have this ever-alert expression on their faces as if they always in a state of anticipation of what you are taking them to do next. They have a short coat and can easily get cold. A bath once in a while and a towel rub to get rid of the loose hair is all the grooming required.",
Tibetan Spaniel,Small & Cute ,4-7 kg,Medium,12-14 years,Medium,High,Low,Medium,Low,,"Tibetan Spaniels are small but brave companion dogs, suitable for humans of all ages who are not away from home a lot.    They are very alert and make fabulous watchdogs, watching over the entire neighborhood. You definitely won't need an alarm system, when you own a Tibetan Spaniel!    You may also see similarities to owning a cat, as they will find their own spots around the house to sit and do their job of watching over the house. You will find them sitting on window benches, stairs, or even up on the TV cabinet. Your neighbors may think you own a barking cat, but they are braver and more fun than cats, as they like to be with you and please you.    Think of Tibetan Spaniels as small whirlwinds that are calm and assertive when they need to be. They prefer quiet and peaceful owners - they will not tolerate people or kids who are too loud and shout a lot, and are likely to leave the room with their head shaking.    This breed loves to run free and wander around. Taking your Tibetan Spaniel out for exercise is important, but if you can't get out some ball throwing inside your garden will make them happy as well.",
Tibetan Terrier,Family & Kid Friendly ,8-14kg,Medium,12-15 years,Long,Medium,low,Low,Low,,"This breed’s name reveals its origins in Tibet, but the rest of its name is misleading, as the Tibetan Terrier is not a descendant of the Terrier family - they actually originate from herding breeds. They say that if you own a Tibetan Terrier, you own a best friend on four legs. They make the ideal family dog that wants to be by your side all the time. They do not do well being left home alone but are easy to train, so can come along with you wherever you go. They adjust easily to any new situation and are a delight to have as companion dogs. Tibetan Terriers are perfect dogs for people who like routine and structure, and can assure this for their furry friend. What they don’t handle well are changes to their daily routine. They like a structured day-to-day life so they can plan when they are going to go for a walk and when they are going to be fed. Tibetan Terriers are very sensitive in that respect and, like your personal assistant, will let you know when it’s time to be fed and go for a walk. They are good watchdogs but won’t bark for long. A short bark to alert that there is somebody at the door will suffice. They love their exercise, preferable daily and for a long time. Looking after their coats, which are fully developed by 3-4 years, isn’t that easy. They need to be brushed daily, very carefully from the bottom to the top and occasionally require just a trim.",
Toy Fox Terrier,Small & Cute Active & Energetic Smart & Trainable ,2-4 kg,Low,13-14 years,Short,Low,very low,Medium,Medium,,"Toy Fox Terriers are like little pocket rockets, with short legs and funky Batman ears. They can easily entertain themselves and get along well with other dogs from their pack. Toy Fox Terriers are easy to train and love to show off their tricks. Once they have learned a few tricks they will show them to you whenever they feel you need some entertainment. They are little comedians and will make you laugh a lot through their endless playfulness and cuteness. These little dogs’ confidence far out weights their physical abilities and they won’t back up, or give up, something that they think belongs to them or their pack. Toy Fox Terriers are inquisitive and alert, and will give out a short bark when strangers arrive. Like most terriers, they also come with a good dose of stubbornness, and are good at hunting. They like to disappear to go off on a hunting spree and might bring home a mouse or two for you. They get easily excited about anything that runs away or hides in the bushes. Taking them for walks can be a challenge, as they like to adventure away from you. Their coats are short and easy to brush but they feel the cold easily and a jumper for winter and rain is a good idea.",
Weimaraner,Family & Kid Friendly Protective & Guarding Active & Energetic Smart & Trainable ,27-35 kg,Very high,10-12 years,Short,Low,Above average,High,Very high,,"These good looking silver-coloured four-legged athletes have a distinctive tendency to be very alert, which makes them great hunting dogs. This alertness and noise sensitivity can make city life stressful for them, especially if not given the outlet of running and chasing.    If Weimaraners are not used as hunting dogs, they will need more than just ball throwing at the park. This breed requires lots of exercise and entertainment and they just love chasing.    Weimaraners prefer to have one master to please and protect. But they will tolerate the rest of the family and kids if they need to. They are stubborn and strong-willed and it is good to establish clear boundaries and rules from the outset.    They don't require much grooming - only their cute floppy ears need some care so they don't get infected. They have steel blue eyes as puppies, which turn brown in adulthood.",
Welsh Corgi (Pembroke),Active & Energetic Smart & Trainable ,10-12 kg,Very high,12-15 years,Medium,Medium,Below average,High,High,,"These cute, sturdy little creatures have such short legs that when they run it can seem that they bounce off the ground with their bellies to get an up-lift! The Welsh Corgi's teddy bear looks don't reflect their eagerness to work both mentally and physically.    They require long walks and daily outings, and their endurance will surprise you. They adjust well to any living situation - apartment, house or farm life - they can do it all as long as they get their daily exercise.    Welsh Corgis are confident little dogs that won't back down easily. They can assert their way, if they please to do so.    They bond very closely with their family and want to be part of any family activity. They don't cope well with being left at home alone for long periods of time.    Corgis are very playful and patient with kids and they make great watchdogs. They are very alert and their spiky fox-like ears certainly assist them to detect any noises.    If you decide to do agility or obedience sport with him, you will want to do more, just to see those cute little legs jumping. With this breed, there is sure to be lots of applause and cheering from the audience too!",
West Highland White Terrier,Small & Cute Active & Energetic ,7-9 kg,Medium,12-16 years,Long,Medium,Below average,Medium,Medium,,"West Highland White Terriers (or Westies) gained popularity through their appearance on many TV commercials. The breed's history was to hunt rodents and other small animals, but they were simply too pretty to stay hunting dogs forever!    Their white fur and good looks combined with their happy, confident nature, have found a place for them in our homes and our hearts.    On of the celebrated traits of Westies is their capacity for patience and empathy. They also have a lot of power and endurance, which you wouldn't expect from such small fluff balls. They do well at agility or other dog sports.    They are always in a good mood and their happiness must be contagious...it is said that Westie owners are the happiest of all dog owners!    Westies do like to dig, so if you have a well-maintained garden we recommend you dedicate an area for your dog to dig to his heart's content. Their chase instinct can also show itself, and it is best to teach them to chase the ball instead of little animals.",
Wheaten Terrier,Low Shedding Family & Kid Friendly Active & Energetic ,14-20 kg,Low,12-15 years,Medium,Medium,Average,Medium,High,,"Wheaten Terriers love all people, and they don't understand why anyone they meet would not want to be jumped on and licked. They will try anything to get your attention if you ignore them, as they assume you just didn't notice them!    Wheatens don't do well with being left home alone for long periods of time and anybody coming to the door will get welcomed with loud barks. Your garden will need to be well fenced so that they don't get out on adventures when you are not home.    Wheaten Terriers are less rowdy when playing with other dogs than their other terrier cousins. But at heart they are still terriers and can be stubborn and not very obedient. Selective hearing is quite common with this breed, but when you get the treat bag out they will suddenly be all ears again!    It is known that Wheatens like to wipe their beardy faces clean on couches...so if you are a clean freak then this breed might not be for you. The bonus - they don't shed much at all, but do require combing, preferably on a daily basis.",
Whippet,Family & Kid Friendly ,10-13 kg,Medium,12-15 years,Short,Low,Below average,Medium,Medium,,"Whippets are among the fastest land athletes on the planet. If you get a Whippet you will be choosing a dog with a sweet personality and fabulous nature who loves to run very, very fast!    Whippets are happiest if they can run free for at least one hour a day, and you will be in awe watching them do so. Daily walks and free off-leash running time are essential, but this breed has the tendency to chase small animals, so care must be taken to prevent this.    Once they have expended their energy on their daily dose of running, they make the most pleasant dogs to live with. They are very affectionate with kids and happy to chase them up and down the backyard.    Whippets are slightly smaller than their bigger cousin the Greyhound but have similar temperament and looks.    This breed will do well at agility or any other running sport and are best to train by using play or affection as a reward.    Whippets may look a bit fragile, but they don't have any tendencies towards genetic illnesses.",
White Swiss Shepherd,Active & Energetic Family & Kid Friendly Smart & Trainable ,35-40 kg,Medium,12-14 years,Medium,Low,high,High,High,,"The White Swiss Shepherd is a fairly newly recognised breed that is also referred to as Berger Blanc Suisse. They look like a white version of the Shepherd family, with pointy ears and the typical Shepherd face but with a slightly smaller body structure. However, they have quite a different temperament. White Swiss Shepherds are easy to train and are extremely clingy to their owners. They will follow you around everywhere, even to places you don’t really want them to, like your bed. You may feel like you have a big white shadow attached to you…one that can reach up to 35kg on the scales! Once a White Swiss Shepherd falls in love with you, there is no escape from their devotion to you. They have a tendency to be warm and welcoming to children but can be skeptical with strangers at first. Like the rest of the Shepherd family, they are bright and intelligent and love to work things out for themselves. This means that simple long walks will not be enough stimulation for this breed. They will perform excellently in dog sports of any kind. White Swiss Shepherds are quite sensitive and like to be raised fair, with praise and treats. They want to please and will follow and listen well to make their owners happy. They are intuitive to their owners’ feelings and emotions and make a great companion dog, if you can handle their size. This breed’s coat is easy to handle, and brushing once or twice a week is sufficient. But be warned to expect lots of shedding twice a year, and you will not be able to wear black clothes without looking silly.",
Wirehaired Pointing Griffon,Active & Energetic Family & Kid Friendly Smart & Trainable ,23-27 kg,Medium,10-12 years,Medium,Medium,average,High,Medium,,"If you are after a medium-sized sporting and working dog that loves to be part of the family, the Wirehaired Pointing Griffon might be just right for you. These dogs want to please and can learn lots of commands. They are so smart that sometimes it seems they learn just through observing and listening to you. Wirehaired Pointing Griffons need lots of opportunities to be active, day in and day out. If you can commit to bush walks, off-lead playtime, jogging, walks in the park… preferably all in one day, they will be happy! They simply need to exercise to let off some steam. They are devoted to their owners and enjoy working for and with them. They aren’t perfectly suitable purely as family dogs as they require lots of exercise and if you are not going to sign up to agility, flyball or another dog sport, their restlessness will drive you crazy. Wirehaired Pointing Griffons love to be part of the action, and keeping them as outside working or hunting dogs would break their hearts. They can at times be a bit aloof, especially towards strangers.Like their breed name suggests, their coats are wiry and quite thick and they look best groomed and left with a beard, which is their trademark style.",
